fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,124264.92452215755,121773.1335360531,121672.76498504962,68,121
1,112438.60904781417,109171.59558180782,104637.38511426309,79,121
2,112695.39884772061,107477.96455838582,106618.75663907334,45,121
3,98300.81632116738,104804.6172868851,97813.59315751113,76,121
4,113452.55034632806,114486.86354330077,113172.83924892877,80,121
5,236787.1253820409,227475.05561657494,232431.78721151,46,121
6,127900.05706772293,126441.59506055037,125462.66158258525,30,121
7,104693.23292498568,108402.76184408565,100301.62302950627,57,121
8,112607.84909280953,116969.74707667119,113032.12465478567,52,121
9,242034.38033394484,252806.4359288749,247681.9988910327,94,121
10,154084.42985332155,167186.32264393885,156301.79472647913,68,121
11,232753.8257343739,315047.69501948357,238023.44392985007,68,121
12,144193.27225556865,163091.71683093486,138011.74130474133,49,121
13,79785.69932406327,85552.24985121406,80800.06350939132,68,121
14,116597.35650419032,115802.9115366893,110507.20590458566,53,121
15,146658.39662227692,108560.62410622758,114350.16404585914,104,121
16,112669.14838394949,101254.38424604716,94449.7475560747,101,121
17,120792.33185290756,123840.61739021164,120125.90539939878,84,121
18,141463.06255095865,147414.32890455445,128877.17844963656,89,121
19,134150.48463943618,134355.03487475286,123353.2353817892,73,121
20,145350.08463511078,142715.8434496971,137935.5416666166,100,121
21,145366.52160661053,147827.92955629405,144977.27827561565,91,121
22,158373.24099793815,174599.8496832314,160752.80334280588,74,121
23,113655.18111622744,106537.10728045041,100415.94174986503,56,121
24,95500.18586984181,94605.5938237389,89284.62275375766,74,121
25,92628.7692181713,95540.71966704726,93169.7904249313,81,121
26,77280.36730407373,72650.0510824847,71656.34201202985,43,121
27,113920.00573492078,100596.48258466163,100693.37848375094,74,121
28,98997.26575945172,104949.70907917923,98514.16198306944,70,121
29,99898.51062170634,88767.32822882269,86770.2405336352,97,121
