fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,12.189194086100848,12.492753082087459,11.938881128304613,236,396
1,11.104654863552607,11.326269297545503,10.866024468898548,152,396
2,9.961333628469312,9.947172975388856,9.53986403552145,251,396
3,11.483963143314716,11.334154272025511,10.886683009342462,253,396
4,10.41469690354702,10.317041150754136,9.939755888310598,219,396
5,10.60012444654902,10.429625079358782,10.133900199338283,262,396
6,12.01557368366654,12.034710146464471,11.562497983905988,249,396
7,12.257996690179983,11.878060419429382,11.584447522198223,276,396
8,11.072129812508146,10.820713377800628,10.7286926390842,223,396
9,11.915588468325842,11.916647855525925,11.53453842538253,220,396
10,10.926822858152626,11.197355858368338,10.713950295317245,217,396
11,11.215435419052667,11.305209731575523,10.97045042616582,229,396
12,10.762680068669086,10.60506932757879,10.25994008636511,255,396
13,9.985134556075826,9.978944634578479,9.668834449013616,246,396
14,10.794993443322651,11.182253538662108,10.540143133862891,169,396
15,10.79638966045369,10.533728305801432,10.180302477645558,297,396
16,10.637373617054983,10.668754708636037,10.240075639072318,212,396
17,11.852236135393778,11.68371890771517,11.32907037594809,261,396
18,10.81048184102813,10.721107827776692,10.32858357368104,181,396
19,12.561999301834547,12.096324334402876,11.790631035952416,267,396
20,12.268953997471849,12.19428649161914,11.844459148997451,249,396
21,10.726508438122547,11.009684405053985,10.483651270157972,135,396
22,12.055291981349447,11.936776376276738,11.562208475834403,224,396
23,10.704160148642742,10.700393024477235,10.319421788455143,236,396
24,11.312945349770134,11.817521488049072,11.148611732469888,226,396
25,9.53502009888669,9.981459340966147,9.397636830329166,153,396
26,10.137019192626544,10.244993662834522,9.7103249775363,232,396
27,10.924264172811972,10.41559324807822,10.109623425739114,271,396
28,10.363516486375824,10.496270169513233,9.937597560058899,206,396
29,10.938153351905866,11.190867618214844,10.62237596638459,183,396
