fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,140022.83613584266,133365.37597843562,135370.4484056006,89,121
1,124704.94654155213,121433.42853117628,111768.37132606604,83,121
2,123650.71691341877,112913.6723105046,110113.39261857391,85,121
3,132624.34477862297,124251.15566017729,120291.8362970014,95,121
4,131129.78179945744,122480.51352356208,120327.58584610796,90,121
5,248302.42480992782,266612.38518393226,258958.76149272974,87,121
6,147299.93180956438,145981.4067987989,129757.8694823567,91,121
7,111483.7920370084,111776.37554823932,106125.90494243558,89,121
8,121739.8265435732,129480.96473209452,121309.06852785146,75,121
9,276804.35780876246,304305.4287400766,257364.23649562246,77,121
10,186125.41006035137,207102.63953958824,183217.9945128556,51,121
11,260824.36919166404,313626.57146364124,266927.68937802897,64,121
12,144863.13776250553,158808.99835699395,139350.49774164127,53,121
13,103661.13705297459,97600.41043924405,95179.62981815694,85,121
14,141302.87846551885,127811.97104833485,123688.36566020694,72,121
15,137718.07057697256,121529.99357574039,122032.57617765936,111,121
16,131670.41062877883,105675.6415129139,103332.89691445668,114,121
17,159323.09728158184,129602.86675913802,129259.01326180364,110,121
18,151617.36591091013,140491.10925176088,132813.19891955337,106,121
19,157805.69467338265,176174.198013173,150530.76961293333,66,121
20,165302.69991278855,203753.39650875935,181003.21958719252,82,121
21,169712.8716010066,151269.81413735432,146780.1733456614,90,121
22,183130.75679362024,172577.22912289918,160975.52887435426,93,121
23,132308.75064494493,131382.6498988943,123528.75169991808,94,121
24,125716.59910524549,109144.17352342405,108985.65495214668,107,121
25,106933.88772533447,94289.29172637637,93907.7870090079,98,121
26,97280.43277442237,86675.67835357989,81974.42415187976,106,121
27,124104.96408573074,110514.44692219744,110588.49824967199,100,121
28,122445.55008706903,122352.27167602288,118359.22122800576,107,121
29,110280.48628835358,114922.28739285671,107626.73458187195,64,121
