fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,12.621262941585577,12.478107520632774,12.148567728395738,245,396
1,10.7831551593915,11.085772516524967,10.677095972485844,183,396
2,10.100691785888003,10.446954446830153,9.90264691411098,204,396
3,11.216846803654326,11.038638045610446,10.725518785906235,286,396
4,10.329054010307305,10.029315029230597,9.798036898435257,266,396
5,10.5035402484988,10.504466156395342,10.171390771411938,251,396
6,11.701677254775113,11.931324012231688,11.506743718630192,244,396
7,11.828967668543267,11.761152253702917,11.427008699259863,173,396
8,11.258259635196287,11.074272817318258,10.698576599529778,240,396
9,11.922360351892968,12.141045756469516,11.617893943349907,242,396
10,10.712969369027256,10.821293679262501,10.4760511460354,206,396
11,10.918306216393576,11.226219140055868,10.75516107667864,234,396
12,10.254810997401465,10.397816883452066,9.994017370570681,211,396
13,9.959403547446323,10.005308016272531,9.745763394834244,223,396
14,10.790294609021192,10.461300246906411,10.15557293840083,277,396
15,10.466818851454653,10.514413750570498,10.103384750561375,235,396
16,10.35809007774144,10.439395962852755,9.981512714207879,218,396
17,11.373223552660304,11.878741667080195,11.197810924746328,183,396
18,10.636910648235954,10.791738623147086,10.330014247709325,216,396
19,12.268352730671708,12.402305563521832,11.833003433089651,239,396
20,12.05078506729993,11.673711214506099,11.386466556389786,279,396
21,11.048474304282061,10.620579018090654,10.27186193303316,247,396
22,11.758339643413544,11.842848296682023,11.390779608934658,242,396
23,10.305375193851825,10.278733445902686,9.971146134773983,242,396
24,11.632255176004328,11.421808288102612,11.07676666328807,259,396
25,9.467114550148196,9.496634687702178,9.224686652644802,217,396
26,10.00677242099012,10.04759634069303,9.579199506670827,273,396
27,10.72659050033884,10.888214241866212,10.460928832769975,212,396
28,10.290149197070281,10.125162226857542,9.813113833802856,271,396
29,10.617091078169228,10.800485605361343,10.328262801787758,236,396
