fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,140205.3426980304,122240.1472771677,121194.48359765435,101,121
1,113300.58510841911,101782.16044892356,97747.06218011402,89,121
2,111906.5643482493,97840.40757394864,97459.08940627109,110,121
3,113213.44228737084,110554.12060282804,109458.38415545257,113,121
4,119598.09513285235,109167.45755882219,109859.68146002402,85,121
5,229835.829824929,219128.19097441252,211856.7221577205,109,121
6,137641.18035782405,115784.58903122148,117630.22630934566,114,121
7,114325.21409464246,106787.89981280641,104985.12507301604,100,121
8,130977.37309518975,108035.44801365583,108800.59594289423,108,121
9,239684.8052287537,233186.72919895637,231004.11582537004,102,121
10,151175.55487725892,139462.3750530735,138057.17100327852,89,121
11,222818.2784854173,222035.4133894145,209366.5713210277,89,121
12,157273.06284188776,149251.3749222249,145980.66689930685,91,121
13,97292.50704540343,92212.48005854957,90888.42708203051,96,121
14,126026.0381364337,111057.22111673011,110606.93674399398,98,121
15,118064.74748428605,100503.20855031046,101346.67611416604,110,121
16,104333.01431668465,90787.45732466361,89350.34563439025,95,121
17,121339.27671306895,118147.28012392957,118350.60953067873,94,121
18,129657.24590446755,107778.69252009327,107143.602374936,106,121
19,137594.56394908452,131846.3727133938,125542.19034532119,98,121
20,145203.17430100706,137307.50002917153,136299.7796521812,82,121
21,144137.2255730711,131043.51219353969,129404.7431542895,108,121
22,151205.16675800842,147293.06076873504,145529.41479304124,102,121
23,120742.8091644265,120283.1622303843,116612.79795647523,80,121
24,117265.27564684537,108782.20001069436,107281.25527664703,82,121
25,91105.25675137728,82504.2351136439,81768.02488739799,106,121
26,75109.67784450308,62376.63955103142,62493.80288221654,116,121
27,109900.00271854624,99828.71931134553,99667.67851330411,94,121
28,99832.68500620194,85380.7671696284,85907.64000281085,110,121
29,101766.86471260301,81277.57514999471,84478.72462792149,112,121
