fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,12.350707261656973,12.520821826612913,12.06839849417396,236,396
1,11.451979647481938,10.844409589109691,10.76177981365944,216,396
2,10.424628339054177,9.932260349463876,9.753182507096612,271,396
3,11.552418349951118,11.097007529283845,10.860790017315072,243,396
4,10.975411592856496,10.301428094225992,10.129476641645182,252,396
5,10.897794688257735,10.497540038716789,10.25637167301698,235,396
6,11.983404169803574,11.768981184091883,11.470154086495329,265,396
7,12.28267603044527,12.045989506064652,11.73976551449857,233,396
8,11.282001593982681,10.94219009066671,10.742618112711845,250,396
9,12.15555810613182,12.209008368838045,11.679472370512597,254,396
10,10.921780668545864,10.636186891165899,10.393009618954244,250,396
11,11.175198900571065,11.137477383230568,10.882724183406168,227,396
12,10.489771248080883,10.316443079703042,10.149024340533861,193,396
13,10.218799908612324,9.989890870891694,9.811248386246731,208,396
14,10.91472391020972,10.506037222213072,10.303539798029323,260,396
15,10.902661551836191,10.435141442208444,10.309867405188372,270,396
16,10.631239723076803,10.339582237487948,10.091588774046608,279,396
17,11.608035587191761,11.792801715789652,11.315423780930898,264,396
18,11.000586040877668,10.63552263228792,10.375715514342533,263,396
19,12.518909128107836,12.370089825884497,11.985201550964835,198,396
20,11.98924396839158,11.925405312240354,11.59090061728701,245,396
21,10.929694940858646,10.587467284314048,10.277241198761986,275,396
22,12.057318286210194,11.968045244772647,11.592799632432442,273,396
23,10.85511675610485,10.698663615120308,10.404421235408941,199,396
24,11.61368411423097,11.462884401964812,11.207295330597915,228,396
25,9.702068360952552,9.19683340039139,9.1672984470995,251,396
26,10.330411033837393,9.82268469912448,9.631675876057754,265,396
27,11.256931565086173,10.473652942278681,10.342135134549387,272,396
28,10.40946491952549,10.00575312337408,9.736217921677197,237,396
29,10.86396374172283,10.868274390603354,10.509163256743973,222,396
