fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,144119.04356840622,124864.10462229943,124117.54905013845,104,121
1,108294.10997045299,103960.66502407519,100040.85952042091,99,121
2,113469.84152911187,100627.86724315841,100536.66310791479,108,121
3,119825.88078748391,111733.8489020523,111488.23125195279,105,121
4,124912.7928927544,108962.51802886248,108214.20912845366,106,121
5,244937.62842339673,230371.4594925626,226849.44271675713,103,121
6,133428.1414407211,113969.66555564308,114768.00192467432,107,121
7,124246.5706120456,105596.79668663771,105991.59725780768,111,121
8,138269.93311027976,109425.31810823892,108793.835071373,114,121
9,252429.9474608986,218643.14957301665,213119.19179057854,111,121
10,155507.1033694118,143304.5109347405,142864.71154328185,97,121
11,233763.85838756233,229707.52640218698,218617.2890069685,102,121
12,153847.55942740443,154905.540287213,140172.77623566284,83,121
13,103051.82898437748,84907.88981744644,84973.34994554573,115,121
14,125256.43095514242,107260.2645972097,106850.88750414673,101,121
15,118907.7700490127,108997.22548659312,107958.60827745759,82,121
16,107697.03741159596,91331.6511897095,89449.34560493744,114,121
17,137661.18111588949,123258.5586346221,122989.9886386062,105,121
18,131113.39082192405,109385.50782538693,107349.27394120923,108,121
19,144121.83666042364,142510.03922873025,135537.50442092115,49,121
20,155024.99762770222,139485.7394857599,139170.25106867516,92,121
21,146098.31254265245,133411.47085066387,132531.162039267,103,121
22,165711.33122037616,145327.42036415957,145615.8029134822,83,121
23,127071.66051550696,113082.56792457848,110336.20748099139,106,121
24,119008.67043898714,98509.452157289,100113.39697920046,110,121
25,98059.4964305351,83534.91107201419,83427.04220196535,109,121
26,82838.42751020475,82149.24572007073,79330.94588889205,41,121
27,129380.59621734207,100417.46653279319,98379.70480335786,115,121
28,98236.02969886662,90685.17936665725,87236.7596546503,109,121
29,104913.73133947207,87948.63263736255,88014.8998039921,107,121
