model,task,n,selective,avg_inj,avg_seed,sel_vs_avginj_p,sel_beats_avginj_folds,avginj_vs_avgseed_p
stid_fixed,volume,30,-9.996441444697151,-13.19472519948396,-6.328223511774344,9.037129714012143e-10,1,2.7450545277324624e-12
stid_fixed,speed,30,-3.3891729830365276,-4.243381568343972,-2.218883977001937,1.0622927292390377e-08,2,1.7343670320033485e-11
gman,volume,30,-14.14016590683538,-18.103183919156784,-11.16800115623017,8.3681653992493e-06,5,1.5867825245350336e-06
gman,speed,30,-5.544045974161941,-6.81810812845558,-4.342357988753494,7.660927428282176e-07,2,1.6070764770026416e-09
stgcn,volume,30,-7.835238217277953,-13.897760261887246,-10.049137566762074,1.9303357999573822e-08,1,0.005282078561986679
stgcn,speed,30,-3.7303073740514647,-5.446664481288058,-3.6568753996181798,1.4966947699454126e-12,0,3.1922859902113613e-09
pdformer,volume,30,-6.725852678211073,-12.112297464531979,-11.321534900203963,1.4236479381572425e-11,0,0.48558542486622724
pdformer,speed,30,-1.6530886336646133,-3.141061118179216,-3.250470843028615,1.226065609043431e-12,0,0.5687658467643386
staeformer,volume,30,-4.4859431046047185,-10.686034891111149,-11.622174011092131,5.3855635342896184e-09,2,0.16089092291473367
staeformer,speed,30,-1.2349942060243724,-2.9273724215185384,-4.121411748944192,8.086529415721037e-12,1,0.00010334842146886201
mtgnn,volume,30,-1.3720485053274047,-6.977550425447567,-8.31268991750548,2.1097074132245107e-08,3,0.13525734028827616
mtgnn,speed,30,-1.7144728392265187,-3.1318738255282694,-3.4014364365646323,3.451989035253659e-12,0,0.3445773855187635
dcrnn,volume,30,-4.060479175034844,-9.919407166256525,-8.87961188894093,1.1385531065412397e-12,0,0.35964159011259333
dcrnn,speed,30,-1.5073970312851066,-3.5025167708592373,-3.502860620923275,3.127120888240234e-15,1,0.9320132106677983
gts,volume,30,-5.103384950143349,-10.861342828582826,-10.22902648123742,3.218189343229456e-14,0,0.5578724930461353
gts,speed,30,-1.4388377628608073,-3.165899009224333,-3.7192084890051977,1.12664127680503e-17,0,0.005696321764261747
gwnet,volume,30,-0.4580738223910606,-2.8345872806726855,-10.077344595881629,0.0631155346662779,10,9.234519738822343e-08
gwnet,speed,30,-1.8739112344305424,-4.289627538385391,-5.609747324511342,7.774500752816755e-11,0,3.889621053044975e-06
agcrn,volume,30,-1.8579221246556599,-6.971635690778928,-11.056111802229951,7.4188935869301295e-09,4,2.8451888855311968e-05
agcrn,speed,30,-1.449625222222468,-3.879911039125699,-3.8606265683189065,3.296651688317744e-19,0,0.8677648822776489
ours,volume,30,-9.411586566383175,-11.624448602047542,-7.7226738720278805,5.335276276436107e-09,2,3.2881005953486846e-06
ours,speed,30,-9.22581253825097,-8.4685218900965,-6.734404878608089,1.7797054805839622e-06,26,1.3375588882103355e-08
