model,task,n,selective,avg_inj,avg_seed,sel_vs_avginj_p,sel_beats_avginj_folds,avginj_vs_avgseed_p,params,uniform,uniform_p,od_gain,od_gain_q
stid_fixed,volume,30,-9.996441444697153,-13.19472519948396,-6.328223511774344,9.037129714012144e-10,1,2.7450545277324624e-12,31028,-9.023585157188998,1.6641341541404038e-10,-6.866501687709616,6.039119961011418e-11
stid_fixed,speed,30,-3.389172983036528,-4.243381568343972,-2.218883977001937,1.0622927292390377e-08,2,1.7343670320033485e-11,31028,0.23589791620207035,0.5673140709877014,-2.024497591342035,1.9078037352036833e-10
ours,volume,30,-9.411586566383177,-11.624448602047542,-7.72267387202788,5.335276276436107e-09,2,3.288100595348685e-06,37345,-7.1727547928858195,7.977446033560704e-08,-3.901774730019662,9.042276637208884e-06
ours,speed,30,-9.22581253825097,-8.4685218900965,-6.734404878608089,1.7797054805839622e-06,26,1.3375588882103357e-08,37345,-8.172232847567678,2.1444303859005134e-18,-1.7341170114884115,5.8852591081254775e-08
gman,volume,30,-14.14016590683538,-18.103183919156784,-11.16800115623017,8.3681653992493e-06,5,1.5867825245350336e-06,54748,-7.532866552996327,0.0019641913178442853,-6.935182762926614,4.98703079139582e-06
gman,speed,30,-5.544045974161941,-6.81810812845558,-4.342357988753494,7.660927428282176e-07,2,1.6070764770026414e-09,54748,0.1921212145442355,0.7887314841196205,-2.475750139702086,1.1785227498019371e-08
stgcn,volume,30,-7.835238217277953,-13.897760261887246,-10.049137566762074,1.9303357999573826e-08,1,0.0052820785619866,62236,-2.0944187703896393,0.8308785370372953,-3.8486226951251723,0.0096399291395198
stgcn,speed,30,-3.7303073740514647,-5.446664481288058,-3.65687539961818,1.4966947699454126e-12,0,3.192285990211361e-09,62236,0.08968791121667803,0.9250691027769083,-1.7897890816698774,1.7557572946162484e-08
pdformer,volume,30,-6.725852678211073,-12.11229746453198,-11.321534900203964,1.4236479381572423e-11,0,0.4855854248662272,94988,-2.697311152113298,0.2742749074377954,-0.7907625643280163,0.5934932970587221
pdformer,speed,30,-1.6530886336646131,-3.141061118179216,-3.250470843028615,1.226065609043431e-12,0,0.5687658467643386,94988,3.2534926073812067,1.1120225666224982e-08,0.10940972484939904,0.6256424314407725
staeformer,volume,30,-4.485943104604719,-10.686034891111149,-11.622174011092133,5.385563534289617e-09,2,0.1608909229147336,159996,0.7440822585116529,0.48407491866737695,0.9361391199809841,0.23597335360827593
staeformer,speed,30,-1.2349942060243724,-2.9273724215185384,-4.121411748944192,8.086529415721037e-12,1,0.0001033484214688,159996,4.707569841190803,4.5572015317115735e-10,1.1940393274256538,0.00020669684293760004
mtgnn,volume,30,-1.3720485053274047,-6.977550425447567,-8.31268991750548,2.1097074132245107e-08,3,0.1352573402882761,335452,11.070373868940525,5.455755031123362e-05,1.3351394920579134,0.21254724902443387
mtgnn,speed,30,-1.7144728392265187,-3.131873825528269,-3.4014364365646323,3.451989035253659e-12,0,0.3445773855187635,335452,4.239846076212759,6.987065106462336e-14,0.26956261103636336,0.46541852838100306
dcrnn,volume,30,-4.060479175034844,-9.919407166256525,-8.87961188894093,1.1385531065412397e-12,0,0.3596415901125933,381916,0.9476496068707898,0.25356335038449856,-1.0397952773155943,0.46541852838100306
dcrnn,speed,30,-1.5073970312851066,-3.5025167708592373,-3.502860620923275,3.127120888240234e-15,1,0.9320132106677984,381916,1.7635794376675178,0.01106677238449418,0.0003438500640378095,0.9320132106677984
gts,volume,30,-5.103384950143349,-10.861342828582826,-10.22902648123742,3.2181893432294566e-14,0,0.5578724930461353,394853,-0.19304119416511809,0.876688110497967,-0.6323163473454052,0.6256424314407725
gts,speed,30,-1.4388377628608071,-3.165899009224333,-3.7192084890051977,1.12664127680503e-17,0,0.0056963217642617,394853,3.8559809213496297,4.77115209028354e-09,0.5533094797808649,0.0096399291395198
gwnet,volume,30,-0.4580738223910606,-2.834587280672685,-10.077344595881629,0.0631155346662779,10,9.234519738822345e-08,672656,25.454308462546972,4.040497119995072e-09,7.2427573152089435,3.385990570901526e-07
gwnet,speed,30,-1.8739112344305424,-4.289627538385391,-5.609747324511342,7.774500752816755e-11,0,3.889621053044975e-06,672656,3.7697674407895803,1.1896734573077073e-05,1.320119786125951,9.507962574109938e-06
agcrn,volume,30,-1.85792212465566,-6.971635690778928,-11.056111802229951,7.418893586930129e-09,4,2.8451888855311968e-05,773830,11.922685482774057,4.703291939189131e-06,4.084476111451023,6.259415548168633e-05
agcrn,speed,30,-1.449625222222468,-3.879911039125699,-3.8606265683189065,3.2966516883177444e-19,0,0.8677648822776489,773830,0.9098018951822936,0.027022399763193084,-0.01928447080679252,0.9090870195289655
