model,task,n,raw,free_lunch,net,net_wins,p_t,p_wilcoxon,q_bh
gman,volume,30,-14.140165906835376,-4.164681634572658,-9.975484272262722,26,5.95659339476412e-07,5.718320608139038e-07,1.8720722097830092e-06
gman,speed,30,-5.544045974161941,-1.6686455315024251,-3.8754004426595148,29,3.500124766991237e-12,3.725290298461914e-09,3.850137243690361e-11
stid_fixed,volume,30,-9.996441444697151,-1.4735108841568898,-8.52293056054026,29,1.100850744327179e-10,3.725290298461914e-09,4.843743275039588e-10
stid_fixed,speed,30,-3.389172983036528,-0.6725439301426799,-2.716629052893848,30,3.306127601952459e-11,1.862645149230957e-09,2.4244935747651366e-10
stgcn,volume,30,-7.835238217277953,-2.4342843523277935,-5.400953864950157,23,0.0005410761091952052,0.0007978975772857666,0.001322630489143835
stgcn,speed,30,-3.7303073740514643,-1.1092563527407604,-2.6210510213107034,30,4.7879775234446663e-11,1.862645149230957e-09,2.6333876378945666e-10
gts,volume,30,-5.103384950143347,-1.4121088738756291,-3.691276076267718,22,0.000609159919708154,0.0003800932317972183,0.0013401518233579388
gts,speed,30,-1.4388377628608073,-1.2404236547822072,-0.19841410807860022,17,0.24911900495802675,0.2988441474735737,0.2740309054538294
pdformer,volume,30,-6.725852678211073,-3.0410621751479776,-3.684790503063096,25,0.0013529751426726252,0.00016989745199680328,0.0027059502853452504
pdformer,speed,30,-1.6530886336646133,-0.7786549950318685,-0.8744336386327447,23,0.003051615705435439,0.0011314544826745987,0.0055946287932983054
dcrnn,volume,30,-4.0604791750348435,-1.4908177887817793,-2.5696613862530646,22,0.020803415721398905,0.007612137123942375,0.03269108184791256
dcrnn,speed,30,-1.5073970312851066,-1.210771843356555,-0.2966251879285518,19,0.2187902757137618,0.23665234446525574,0.2533361087211979
staeformer,volume,30,-4.485943104604719,-2.2513443267065942,-2.2345987778981256,15,0.11493657350068244,0.2710056286305189,0.15803778856343836
staeformer,speed,30,-1.234994206024372,-0.8324016061252687,-0.40259259989910334,15,0.14083186645097207,0.28008678182959557,0.17212783677341031
mtgnn,volume,30,-1.3720485053274036,-2.922896666632198,1.550848161304795,11,0.10206966734415271,0.18396909348666668,0.14970217877142397
mtgnn,speed,30,-1.714472839226519,-0.8792114144716743,-0.8352614247548449,25,3.0111874138761152e-05,2.6885420083999634e-05,8.280765388159317e-05
gwnet,volume,30,-0.4580738223910602,-3.6781075956932625,3.220033773302202,9,0.004471307565676863,0.004338232800364494,0.007566828188068537
gwnet,speed,30,-1.8739112344305424,-1.4053336695657999,-0.468577564864742,16,0.27082191436270725,0.583757072687149,0.28371819599902665
agcrn,volume,30,-1.8579221246556594,-2.853041859872602,0.9951197352169427,9,0.355633826134361,0.036434996873140335,0.355633826134361
agcrn,speed,30,-1.449625222222468,-1.176872568964843,-0.27275265325762466,20,0.13027859449010476,0.12935307621955872,0.16859582816366497
ours,volume,30,-9.411586566383175,-3.588729828306827,-5.822856738076349,28,7.48966663743581e-09,1.30385160446167e-08,2.7462111003931305e-08
ours,speed,30,-9.22581253825097,-1.4196410510358972,-7.806171487215071,30,1.5586065026925358e-18,1.862645149230957e-09,3.428934305923579e-17
