model,n_params_plain,n_params_inj,plain_mse,inj_mse,plain_mae,inj_mae,injection_pct
stid,33708,46894,51.30652618408203,49.3028450012207,3.704936981201172,3.4091498851776123,-3.9053144539007496
gman,56124,69310,53.97504425048828,52.6598014831543,3.8715548515319824,3.5847251415252686,-2.4367608875505207
stgcn,63612,76798,52.50444793701172,51.311317443847656,3.8502440452575684,3.4571340084075928,-2.2724369839969207
pdformer,114252,127438,48.9123649597168,52.49223709106445,3.5150179862976074,3.400407075881958,7.318951218768433
staeformer,177884,191070,50.229427337646484,51.54387283325195,3.661383628845215,3.4535157680511475,2.6168832998426486
mtgnn,339580,352766,48.53419494628906,51.73594665527344,3.5014610290527344,3.4422597885131836,6.596898769058869
dcrnn,383292,396478,53.68438720703125,52.435935974121094,3.6737704277038574,3.486854076385498,-2.3255387606373605
gts,403195,416381,53.8031120300293,53.627079010009766,3.8386943340301514,3.5472025871276855,-0.327179996430841
gwnet,675752,688938,51.55061721801758,52.65080642700195,3.485745668411255,3.441185235977173,2.134192117102034
agcrn,774690,787876,52.68208694458008,51.55789566040039,3.7943365573883057,3.490604877471924,-2.133915623658383
