model,task,n_folds,pct_z0.0,p_z0.0,mean_n_chose_z0.0,pct_z1.0,p_z1.0,mean_n_chose_z1.0,pct_z1.645,p_z1.645,mean_n_chose_z1.645,pct_z1.96,p_z1.96,mean_n_chose_z1.96,pct_z2.576,p_z2.576,mean_n_chose_z2.576
gman,volume,30,-14.14016590683538,5.280349871745279e-10,94.76666666666667,-8.42099909553901,8.77790410168095e-08,18.933333333333334,-6.029340613256736,1.2036222578140743e-07,8.966666666666667,-5.107662207775737,5.879886601460623e-07,6.8,-3.633084598392623,4.7487452877830485e-06,3.966666666666667
gman,speed,30,-5.544045974161943,9.624020820755035e-19,290.93333333333334,-3.1029403343306496,8.858044133869993e-14,52.666666666666664,-2.305702031688364,4.74921924855667e-12,27.733333333333334,-2.049352707653041,2.1223576310291095e-11,22.033333333333335,-1.6659290185481568,1.9991714101828208e-10,15.166666666666666
dcrnn,speed,30,-1.5073970312851084,6.226214104329782e-07,218.26666666666668,-0.5397744069235474,4.739237730161484e-05,16.633333333333333,-0.4176721748466333,6.0215411743362074e-05,9.5,-0.38656230910581724,5.931064658197713e-05,8.0,-0.33509275394978455,4.414152243930865e-06,5.566666666666666
dcrnn,volume,30,-4.0604791750348435,0.0013386731815991494,84.33333333333333,-1.5995532507471533,0.007769791343756959,10.433333333333334,-1.2291220637627094,0.0013618588907486925,4.7,-1.1727410228380561,0.0025042689684675623,3.6333333333333333,-0.9911932889540005,0.00717313127341672,2.3666666666666667
gwnet,volume,30,-0.4580738223910608,0.3561159945120419,42.6,-0.4540239108230634,0.2625105220200096,3.0,-0.3535767626707421,0.37241628277771166,1.5,-0.31920306712967705,0.39879525014904327,1.3666666666666667,-0.4251840801789199,0.16009395904345577,0.9333333333333333
gwnet,speed,30,-1.8739112344305435,1.609262508789109e-05,185.6,-0.959921067507173,0.0006405753532268478,13.066666666666666,-0.8250244451292199,0.0011932742756857629,8.233333333333333,-0.7393341211266431,0.0016066788105080184,6.733333333333333,-0.6443895121680978,0.003981806576176824,4.9
staeformer,volume,30,-4.485943104604723,0.000941381760189801,71.46666666666667,-2.255643654893873,0.00017496900175950365,6.966666666666667,-1.7775185464049048,0.00011823717466343557,3.7333333333333334,-1.7052051775505974,0.00017237686566168049,3.066666666666667,-1.1317701431971412,0.0006887094015057837,1.7333333333333334
staeformer,speed,30,-1.2349942060243684,1.7062702586533931e-06,160.13333333333333,-0.80914073476828,6.972032707959369e-06,13.566666666666666,-0.7018976059267797,6.605976270927325e-06,8.566666666666666,-0.63427416022989,1.6472686709240827e-05,7.3,-0.5563441648184732,3.8701507271319655e-06,5.6
stid_fixed,volume,30,-9.996441444697151,8.958663554227271e-14,99.63333333333334,-6.533632318276874,1.9289673328278912e-11,26.666666666666668,-4.78690277040197,1.9058113609278004e-09,14.8,-4.341775028119442,1.3882661390179788e-09,12.0,-3.4710445019975333,1.595609229733003e-08,8.133333333333333
stid_fixed,speed,30,-3.3891729830365316,3.482636075100041e-13,235.13333333333333,-2.3657987201751314,3.2619788344238207e-12,46.766666666666666,-1.9770634215002378,4.537530745977494e-11,26.4,-1.8448730136598122,8.912435966953402e-11,21.233333333333334,-1.6539552965283781,2.438205789491639e-10,15.933333333333334
stgcn,volume,30,-7.835238217277952,4.935698340165835e-06,87.8,-4.991695490204186,2.2800478344054805e-05,16.333333333333332,-3.780154807380312,3.068545488101022e-05,9.033333333333333,-3.2736217323568817,0.00014025172623371657,6.9,-2.693095939742698,0.000455940233458314,4.733333333333333
stgcn,speed,30,-3.7303073740514634,4.431336789974622e-14,226.33333333333334,-2.4767938786605437,1.6732149829827472e-12,31.666666666666668,-2.1222470859208444,8.255196119024792e-12,19.633333333333333,-2.040317763725794,1.915692629924099e-11,17.0,-1.829801440121751,2.380525438726381e-10,13.566666666666666
pdformer,volume,30,-6.725852678211075,5.266807934898328e-07,78.5,-3.1218733291215117,3.080864263176839e-06,9.166666666666666,-2.0827226704040145,9.331831432634564e-05,4.6,-1.7406730521144056,0.0005630307249370497,3.466666666666667,-1.5072850958604096,0.00023779842148712393,2.433333333333333
pdformer,speed,30,-1.6530886336646178,1.179427518151751e-08,206.4,-0.9043413161956575,6.757842241745731e-07,22.733333333333334,-0.7507138899611697,5.960843947334086e-07,13.466666666666667,-0.703724022500139,1.0529292514666904e-06,11.533333333333333,-0.5848838353328477,2.9432025298633915e-06,9.166666666666666
mtgnn,volume,30,-1.3720485053274014,0.0738089631381736,61.7,-0.6595718823927373,0.1374650346487863,5.3,-0.7266932445941874,0.027616648497144524,2.533333333333333,-0.7039154289330481,0.025667225690610408,1.7666666666666666,-0.6662217061741629,0.007251925420258862,1.4
mtgnn,speed,30,-1.71447283922652,2.1580342138445133e-12,225.73333333333332,-0.7433007676616573,3.341518711818767e-08,15.633333333333333,-0.6160066904351299,2.050993831318254e-06,8.6,-0.5839914188441405,4.350807461355321e-06,7.166666666666667,-0.49356240498446036,3.0048588312854698e-05,5.466666666666667
agcrn,volume,30,-1.8579221246556596,0.006286763887233489,46.5,-1.0258798619128968,0.004323418243399228,2.9,-0.8294535739034442,0.01788338465235407,1.6666666666666667,-0.7657938495760902,0.022345547383617544,1.3,-0.5070588875419405,0.0485573200638713,0.8333333333333334
agcrn,speed,30,-1.4496252222224664,8.110838756478135e-10,211.26666666666668,-0.6677910413650484,8.370402419435865e-07,11.766666666666667,-0.5904340172021426,1.283840750390959e-07,7.7,-0.5611194145626768,2.73483191576084e-07,6.866666666666666,-0.5044007064353689,7.063296690686824e-07,5.666666666666667
