model,n_params_plain,n_params_inj,plain_mse,inj_mse,plain_mae,inj_mae,injection_pct
stid,35596,48782,23.96456527709961,23.910139083862305,2.453522205352783,2.3719353675842285,-0.22711112264287148
gman,58012,71198,25.04287338256836,25.33074951171875,2.7090060710906982,2.5078697204589844,1.149533141635309
stgcn,65500,78686,22.896575927734375,23.87310028076172,2.479196548461914,2.35550594329834,4.264936190063643
pdformer,140684,153870,22.182842254638672,23.623302459716797,2.2820374965667725,2.317427396774292,6.493578183277705
staeformer,202428,215614,20.29874610900879,22.71656036376953,2.197445869445801,2.2953970432281494,11.911150776390526
mtgnn,345244,358430,19.36945152282715,20.82105827331543,2.0951480865478516,2.1770265102386475,7.494310041652671
dcrnn,385180,398366,20.95400047302246,22.937694549560547,2.3051095008850098,2.254277229309082,9.466899073005283
gts,414641,427827,20.561630249023438,21.611539840698242,2.2858734130859375,2.228180170059204,5.106159282893775
gwnet,680000,693186,19.74465560913086,23.374671936035156,2.131279706954956,2.3627288341522217,18.384804469446436
agcrn,775870,789056,22.156423568725586,24.989452362060547,2.399078130722046,2.5061988830566406,12.786489590918729
