model,n_params_plain,n_params_inj,plain_mse,inj_mse,plain_mae,inj_mae,injection_pct
stid,34044,47230,41.182960510253906,37.99325942993164,3.8711049556732178,3.300062656402588,-7.745196170460063
gman,56460,69646,46.55265426635742,38.7037239074707,4.283683776855469,3.3850209712982178,-16.860328336979418
stgcn,63948,77134,45.1604118347168,39.238258361816406,4.0126752853393555,3.473081588745117,-13.113594921532071
pdformer,118956,132142,39.797420501708984,38.26565933227539,3.7125251293182373,3.3384692668914795,-3.8488956071105584
staeformer,182252,195438,37.681907653808594,39.31653594970703,3.4939653873443604,3.3909857273101807,4.337965877195238
mtgnn,340588,353774,37.261905670166016,38.027442932128906,3.49788761138916,3.2673258781433105,2.0544769468831086
dcrnn,383628,396814,39.06223678588867,38.306365966796875,3.6804933547973633,3.348991870880127,-1.9350423357344888
gts,405232,418418,38.93967819213867,38.14408493041992,3.6394054889678955,3.3200435638427734,-2.0431428780512317
gwnet,676508,689694,39.13976287841797,39.39474105834961,3.6408891677856445,3.380858898162842,0.6514556072393529
agcrn,774900,788086,41.489540100097656,38.801727294921875,3.7244691848754883,3.3040542602539062,-6.478290187577795
