model,task,n_folds,seedctl_selective_mean_pct,seedctl_selective_wins,seedctl_selective_p,selective_vs_globalpick_mean_pct,selective_vs_globalpick_wins,selective_vs_globalpick_p,seed_swing_abs_mean_pct,mean_sensors_chose_seed1,n_sensors_total
gman,volume,30,-5.802530898733325,28,2.6445046969526825e-06,-4.164681634572658,28,7.311322468260546e-07,9.673054247047506,50.16666666666666,121
dcrnn,speed,30,-1.3391563477978048,26,9.921825718073294e-09,-1.210771843356555,25,6.915034587235522e-09,1.4382075341361231,182.66666666666663,396
stid,volume,30,-2.806302392699368,26,0.0001776914579744,-1.4841268955405444,24,0.0013448020241118,4.6620116205658295,55.16666666666666,121
stid,speed,30,-1.3072934345244476,28,4.976373939563547e-08,-0.7667150191393725,26,1.6150106757675806e-07,1.399571165852446,214.36666666666667,396
staeformer,volume,30,-6.068172862201521,27,5.344560502458813e-06,-2.251344326706592,25,0.0025467727755864,6.17479363476142,74.06666666666666,121
stgcn,volume,30,-4.979151117778425,27,1.531961704980438e-08,-2.434284352327794,24,1.0426111550019936e-05,5.379730843714097,63.43333333333333,121
gwnet,volume,30,-3.263696286437595,23,0.0003135223053738,-3.6781075956932607,24,0.0001407976392187,5.339162175300143,61.1,121
gwnet,speed,30,-2.922656616256329,30,1.8286449663914654e-07,-1.405333669565802,27,3.037102232073322e-08,2.4830915873587167,220.2333333333333,396
stgcn,speed,30,-1.7112500133377233,29,1.2337589417148275e-08,-1.1092563527407568,29,1.411547818163604e-09,1.5766462161285977,194.06666666666663,396
gman,speed,30,-1.8547109012867733,30,4.766397860228381e-12,-1.668645531502429,30,9.806097481156088e-12,1.450335186106102,189.53333333333333,396
staeformer,speed,30,-2.175516573647803,29,9.128888190418971e-09,-0.8324016061252693,25,0.0003093544629291,2.239443575863231,227.1,396
dcrnn,volume,30,-2.9114926950283007,26,1.958031715188539e-05,-1.49081778878178,23,0.0210436458205499,5.180493677686604,57.1,121
gts,volume,30,-3.909212129961697,26,7.50657774977142e-06,-1.412108873875628,22,0.10004972266187082,6.230251782113147,61.6,121
gts,speed,30,-1.687423730521767,29,7.362334436675363e-11,-1.2404236547822085,29,9.310943845653216e-12,1.5343889199429817,199.06666666666666,396
